City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,uwajima,33.2238,132.56,12.02,77,8,4.15,JP,1667587571
323,rudbar,30.15,62.6,21.61,35,100,0.61,AF,1667587571
324,inhambane,-23.865,35.3833,25.0,88,40,5.81,MZ,1667587572
325,ilulissat,69.2167,-51.1,-1.99,93,100,1.03,GL,1667587572
326,port blair,11.6667,92.75,27.02,74,40,1.03,IN,1667587572
327,vostok,46.4856,135.8833,-9.01,80,5,2.13,RU,1667587573
328,bhawanipatna,19.9,83.1667,17.63,63,0,1.43,IN,1667587573
329,la ronge,55.1001,-105.2842,-4.88,86,100,5.66,CA,1667587573
330,kovdor,67.5662,30.4758,2.36,98,100,3.23,RU,1667587574
331,isla vista,34.4133,-119.861,20.55,43,0,1.79,US,1667587574
332,jiuquan,39.7432,98.5174,0.89,46,65,0.53,CN,1667587574
333,vanimo,-2.6741,141.3028,25.49,88,99,1.58,PG,1667587575
334,bistra,46.3833,23.1,9.68,76,72,0.34,RO,1667587575
335,arco,45.9177,10.8867,11.6,88,8,3.24,IT,1667587575
336,oktyabrskiy,54.4815,53.471,-5.85,97,100,1.5,RU,1667587575
337,nyimba,-14.5566,30.8149,27.27,48,43,3.97,ZM,1667587576
338,lebanon,36.2081,-86.2911,26.82,51,0,4.63,US,1667587576
339,takoradi,4.8845,-1.7554,26.09,86,100,2.65,GH,1667587577
340,hasaki,35.7333,140.8333,11.79,58,100,7.41,JP,1667587577
341,itarema,-2.9248,-39.9167,28.87,64,14,5.72,BR,1667587577
342,port lincoln,-34.7333,135.8667,14.32,86,88,4.98,AU,1667587551
343,prachuap khiri khan,12.2167,99.75,19.13,77,13,1.6,TH,1667587371
344,kirishi,59.4471,32.0205,-1.38,87,16,1.46,RU,1667587578
345,nenton,15.8,-91.75,26.5,67,100,1.96,GT,1667587579
346,phonhong,18.5007,102.4166,20.14,81,9,0.23,LA,1667587579
347,dengzhou,37.8086,120.7508,10.15,49,3,5.3,CN,1667587579
348,bathsheba,13.2167,-59.5167,26.34,78,75,3.6,BB,1667587580
349,biloela,-24.4167,150.5,15.01,88,0,4.32,AU,1667587580
350,senanga,-16.1167,23.2667,22.89,70,100,2.0,ZM,1667587580
351,tumbi,-5.0667,32.7333,25.84,42,100,4.09,TZ,1667587581
352,pangnirtung,66.1451,-65.7125,-12.0,67,40,1.54,CA,1667587581
353,baghdad,33.3406,44.4009,15.95,36,0,0.0,IQ,1667587581
354,payakumbuh,-0.2202,100.6308,21.02,95,100,1.27,ID,1667587582
355,katangi,23.45,79.7833,19.63,57,0,1.14,IN,1667587582
356,nome,64.5011,-165.4064,-12.96,78,0,4.63,US,1667587500
357,sampit,-2.5333,112.95,23.45,96,100,0.42,ID,1667587582
358,namwala,-15.7504,26.4384,22.6,68,70,3.5,ZM,1667587583
359,insar,53.8653,44.3738,1.07,99,100,1.91,RU,1667587583
360,xuddur,4.1213,43.8894,25.63,65,44,3.49,SO,1667587584
361,halacho,20.4833,-90.0833,34.94,31,97,3.6,MX,1667587584
362,hammerfest,70.6634,23.6821,5.25,81,75,3.09,NO,1667587584
363,sovetskiy,61.3614,63.5842,-5.58,95,19,2.94,RU,1667587585
364,pineville,31.3224,-92.4343,27.96,73,100,6.17,US,1667587501
365,leningradskiy,69.3833,178.4167,-16.6,95,100,2.4,RU,1667587585
